1b#ced#cypl9614_s_jd/F  -0.327 0.775  -0.228 0.991  -0.195 1.180  -0.161 0.935  -0.124 0.690  -0.096 0.442  -0.058 0.195  -0.033 -0.054  -0.030 -0.304  -0.030 -0.555  -0.030 -0.805  -0.063 -1.053  -0.085 -1.302  -0.101 -1.551  -0.129 -1.798  -0.167 -1.880  -0.183 -1.630  -0.199 -1.380  -0.214 -1.130  -0.230 -0.880  -0.245 -0.630  -0.261 -0.380  -0.277 -0.130  -0.292 0.120  -0.308 0.370  -0.324 0.620  -0.426 0.841  -0.586 1.030  -0.622 1.171  -0.380 1.204  -0.131 1.220  0.117 1.237  0.368 1.237  0.618 1.241  0.866 1.270  0.837 1.101  0.719 0.880  0.602 0.659  0.485 0.437  0.368 0.216  0.209 0.025  0.017 -0.134  -0.189 -0.276  -0.316 -0.488  -0.307 -0.623  -0.070 -0.642  0.180 -0.642  0.430 -0.636  0.678 -0.609  0.926 -0.576
1b#apb#apb42#app4209/F  -0.342 1.172  -0.365 1.109  -0.370 0.859  -0.384 0.610  -0.387 0.360  -0.387 0.110  -0.384 -0.140  -0.375 -0.390  -0.367 -0.640  -0.373 -0.890  -0.385 -1.140  -0.353 -1.387  -0.233 -1.507  -0.191 -1.299  -0.242 -1.055  -0.293 -0.810  -0.343 -0.565  -0.394 -0.320  -0.445 -0.075  -0.495 0.170  -0.546 0.415  -0.609 0.650  -0.450 0.810  -0.207 0.868  0.039 0.911  0.284 0.964  0.527 1.020  0.771 1.075  1.015 1.130  1.258 1.187  1.478 1.230  1.305 1.049  1.133 0.868  0.961 0.687  0.789 0.506  0.616 0.324  0.444 0.143  0.272 -0.038  0.100 -0.219  -0.073 -0.401  -0.245 -0.582  -0.417 -0.763  -0.589 -0.944  -0.738 -1.045  -0.579 -0.887  -0.365 -0.764  -0.129 -0.681  0.112 -0.617  0.357 -0.571  0.596 -0.497
1b#apb#apb42#app4209/F  -0.376 1.093  -0.357 0.847  -0.339 0.601  -0.330 0.354  -0.330 0.107  -0.303 -0.139  -0.271 -0.384  -0.253 -0.630  -0.240 -0.877  -0.240 -1.124  -0.174 -1.357  -0.217 -1.277  -0.349 -1.068  -0.480 -0.858  -0.612 -0.649  -0.744 -0.440  -0.876 -0.231  -1.007 -0.022  -1.139 0.187  -1.101 0.301  -0.869 0.382  -0.637 0.463  -0.391 0.489  -0.145 0.515  0.098 0.556  0.340 0.607  0.582 0.658  0.822 0.714  1.062 0.776  1.301 0.838  1.541 0.895  1.783 0.949  1.640 0.851  1.428 0.725  1.215 0.599  1.002 0.473  0.789 0.348  0.576 0.222  0.364 0.096  0.151 -0.030  -0.062 -0.156  -0.275 -0.281  -0.487 -0.407  -0.700 -0.533  -0.801 -0.714  -0.591 -0.808  -0.346 -0.797  -0.116 -0.705  0.116 -0.619  0.349 -0.537
3#apa#apa02#app0277/F  -0.480 0.644  -0.374 0.737  -0.374 0.515  -0.374 0.292  -0.374 0.069  -0.374 -0.154  -0.407 -0.369  -0.480 -0.575  -0.480 -0.798  -0.603 -0.973  -0.691 -1.175  -0.691 -1.398  -0.741 -1.571  -0.679 -1.510  -0.635 -1.292  -0.591 -1.073  -0.548 -0.854  -0.504 -0.636  -0.460 -0.417  -0.416 -0.199  -0.373 0.020  -0.329 0.238  -0.285 0.457  -0.242 0.675  -0.198 0.894  -0.116 1.066  0.107 1.066  0.330 1.066  0.553 1.066  0.748 1.133  0.955 1.171  1.178 1.171  1.401 1.171  1.269 1.031  1.107 0.878  0.944 0.725  0.782 0.572  0.620 0.420  0.458 0.267  0.295 0.114  0.133 -0.039  -0.029 -0.191  -0.192 -0.344  -0.354 -0.497  -0.269 -0.606  -0.062 -0.622  0.158 -0.616  0.340 -0.516  0.563 -0.516  0.786 -0.516
2#apb#apb42#app4209/F  -0.342 1.172  -0.365 1.109  -0.370 0.859  -0.384 0.610  -0.387 0.360  -0.387 0.110  -0.384 -0.140  -0.375 -0.390  -0.367 -0.640  -0.373 -0.890  -0.385 -1.140  -0.353 -1.387  -0.233 -1.507  -0.191 -1.299  -0.242 -1.055  -0.293 -0.810  -0.343 -0.565  -0.394 -0.320  -0.445 -0.075  -0.495 0.170  -0.546 0.415  -0.609 0.650  -0.450 0.810  -0.207 0.868  0.039 0.911  0.284 0.964  0.527 1.020  0.771 1.075  1.015 1.130  1.258 1.187  1.478 1.230  1.305 1.049  1.133 0.868  0.961 0.687  0.789 0.506  0.616 0.324  0.444 0.143  0.272 -0.038  0.100 -0.219  -0.073 -0.401  -0.245 -0.582  -0.417 -0.763  -0.589 -0.944  -0.738 -1.045  -0.579 -0.887  -0.365 -0.764  -0.129 -0.681  0.112 -0.617  0.357 -0.571  0.596 -0.497
2#apb#apb42#app4209/F  -0.376 1.093  -0.357 0.847  -0.339 0.601  -0.330 0.354  -0.330 0.107  -0.303 -0.139  -0.271 -0.384  -0.253 -0.630  -0.240 -0.877  -0.240 -1.124  -0.174 -1.357  -0.217 -1.277  -0.349 -1.068  -0.480 -0.858  -0.612 -0.649  -0.744 -0.440  -0.876 -0.231  -1.007 -0.022  -1.139 0.187  -1.101 0.301  -0.869 0.382  -0.637 0.463  -0.391 0.489  -0.145 0.515  0.098 0.556  0.340 0.607  0.582 0.658  0.822 0.714  1.062 0.776  1.301 0.838  1.541 0.895  1.783 0.949  1.640 0.851  1.428 0.725  1.215 0.599  1.002 0.473  0.789 0.348  0.576 0.222  0.364 0.096  0.151 -0.030  -0.062 -0.156  -0.275 -0.281  -0.487 -0.407  -0.700 -0.533  -0.801 -0.714  -0.591 -0.808  -0.346 -0.797  -0.116 -0.705  0.116 -0.619  0.349 -0.537
2#app#app37#app3713/F  -0.245 0.231  -0.245 0.018  -0.245 -0.194  -0.245 -0.407  -0.245 -0.619  -0.245 -0.831  -0.245 -1.044  -0.134 -1.210  -0.097 -1.407  -0.097 -1.620  -0.097 -1.832  -0.142 -1.635  -0.188 -1.428  -0.234 -1.220  -0.281 -1.013  -0.327 -0.806  -0.373 -0.598  -0.419 -0.391  -0.465 -0.184  -0.511 0.024  -0.557 0.231  -0.603 0.438  -0.649 0.646  -0.660 0.836  -0.470 0.931  -0.280 1.026  -0.091 1.123  0.063 1.265  0.252 1.319  0.426 1.412  0.596 1.515  0.789 1.559  0.758 1.355  0.657 1.168  0.556 0.981  0.456 0.794  0.355 0.607  0.254 0.420  0.154 0.233  0.053 0.046  -0.048 -0.141  -0.148 -0.328  -0.238 -0.504  -0.048 -0.409  0.142 -0.314  0.332 -0.219  0.522 -0.124  0.697 -0.009  0.872 0.083  0.937 0.231
1b#ced#aaaa9018_s_2h/F  -0.097 0.463  -0.198 0.457  -0.288 0.233  -0.384 0.014  -0.443 -0.221  -0.502 -0.455  -0.552 -0.692  -0.600 -0.929  -0.623 -1.169  -0.649 -1.408  -0.682 -1.645  -0.658 -1.503  -0.629 -1.263  -0.599 -1.023  -0.570 -0.783  -0.540 -0.542  -0.511 -0.302  -0.482 -0.062  -0.452 0.178  -0.423 0.419  -0.393 0.659  -0.295 0.851  -0.079 0.955  0.151 1.011  0.383 1.078  0.618 1.137  0.855 1.177  1.088 1.237  1.324 1.275  1.264 1.165  1.078 1.010  0.892 0.855  0.706 0.700  0.520 0.545  0.334 0.390  0.148 0.235  -0.038 0.081  -0.224 -0.074  -0.410 -0.229  -0.596 -0.384  -0.765 -0.549  -0.579 -0.460  -0.347 -0.396  -0.115 -0.337  0.126 -0.332  0.365 -0.299  0.604 -0.269  0.846 -0.267  1.088 -0.267  1.330 -0.267
2#apa#apa01#app0157/F  -0.573 0.964  -0.452 0.779  -0.452 0.544  -0.452 0.309  -0.333 0.123  -0.332 -0.112  -0.332 -0.347  -0.332 -0.582  -0.212 -0.767  -0.183 -0.991  -0.091 -1.188  -0.091 -1.423  0.003 -1.564  0.007 -1.599  -0.052 -1.372  -0.112 -1.144  -0.171 -0.917  -0.231 -0.689  -0.290 -0.461  -0.349 -0.234  -0.409 -0.006  -0.468 0.221  -0.527 0.449  -0.587 0.676  -0.646 0.904  -0.645 1.085  -0.410 1.085  -0.175 1.085  0.044 1.153  0.267 1.205  0.502 1.205  0.706 1.280  0.923 1.326  1.113 1.281  1.013 1.080  0.866 0.897  0.719 0.713  0.572 0.529  0.425 0.346  0.278 0.162  0.132 -0.021  -0.015 -0.205  -0.162 -0.389  -0.309 -0.572  -0.212 -0.679  -0.040 -0.773  0.167 -0.842  0.402 -0.842  0.637 -0.842  0.872 -0.842
2#ibm#ibm0#r0414/F  -0.579 0.694  -0.566 0.492  -0.419 0.345  -0.390 0.149  -0.390 -0.058  -0.390 -0.266  -0.375 -0.470  -0.282 -0.656  -0.201 -0.844  -0.201 -1.052  -0.201 -1.260  -0.201 -1.467  -0.201 -1.675  -0.226 -1.646  -0.270 -1.443  -0.313 -1.240  -0.357 -1.037  -0.400 -0.834  -0.444 -0.631  -0.487 -0.428  -0.531 -0.225  -0.574 -0.022  -0.618 0.181  -0.661 0.384  -0.705 0.587  -0.748 0.791  -0.655 0.883  -0.448 0.883  -0.256 0.950  -0.070 1.043  0.131 1.072  0.339 1.072  0.546 1.072  0.754 1.072  0.962 1.072  1.169 1.072  1.268 1.023  1.131 0.867  0.995 0.710  0.858 0.554  0.721 0.398  0.584 0.241  0.447 0.085  0.311 -0.071  0.174 -0.228  0.037 -0.384  0.121 -0.440  0.329 -0.440  0.537 -0.440  0.744 -0.440
2#ibm#ibm0#r0414/F  -0.609 1.110  -0.602 0.871  -0.495 0.656  -0.387 0.441  -0.384 0.202  -0.384 -0.038  -0.384 -0.278  -0.384 -0.519  -0.354 -0.752  -0.246 -0.967  -0.159 -1.186  -0.159 -1.426  -0.159 -1.667  -0.182 -1.731  -0.245 -1.499  -0.308 -1.268  -0.372 -1.036  -0.435 -0.804  -0.498 -0.572  -0.561 -0.341  -0.625 -0.109  -0.688 0.123  -0.751 0.355  -0.814 0.587  -0.718 0.776  -0.522 0.885  -0.282 0.885  -0.042 0.885  0.198 0.885  0.439 0.885  0.679 0.885  0.900 0.964  1.115 1.071  1.346 1.110  1.291 0.999  1.110 0.840  0.929 0.682  0.748 0.524  0.567 0.366  0.387 0.208  0.206 0.049  0.025 -0.109  -0.156 -0.267  -0.337 -0.425  -0.206 -0.466  0.034 -0.466  0.268 -0.416  0.501 -0.358  0.734 -0.300  0.967 -0.241
2#ibm#ibm0#r0414/F  -0.409 0.950  -0.409 0.746  -0.409 0.542  -0.409 0.337  -0.409 0.133  -0.409 -0.071  -0.409 -0.276  -0.409 -0.480  -0.409 -0.684  -0.409 -0.889  -0.409 -1.093  -0.409 -1.297  -0.409 -1.502  -0.409 -1.706  -0.409 -1.690  -0.409 -1.486  -0.409 -1.281  -0.409 -1.077  -0.409 -0.873  -0.409 -0.668  -0.409 -0.464  -0.409 -0.260  -0.409 -0.055  -0.409 0.149  -0.409 0.353  -0.409 0.558  -0.403 0.760  -0.259 0.904  -0.073 0.950  0.131 0.950  0.335 0.950  0.540 0.950  0.726 1.027  0.909 1.118  1.106 1.147  1.311 1.147  1.249 1.037  1.105 0.892  0.960 0.748  0.816 0.603  0.671 0.459  0.527 0.314  0.382 0.170  0.238 0.025  0.093 -0.119  -0.051 -0.264  -0.196 -0.408  -0.032 -0.425  0.173 -0.425  0.377 -0.425
2#ibm#ibm0#r0414/F  -0.698 0.544  -0.698 0.320  -0.698 0.096  -0.678 -0.124  -0.608 -0.337  -0.537 -0.549  -0.495 -0.766  -0.495 -0.990  -0.495 -1.214  -0.495 -1.437  -0.495 -1.312  -0.517 -1.090  -0.541 -0.867  -0.566 -0.645  -0.591 -0.422  -0.615 -0.200  -0.640 0.023  -0.665 0.245  -0.690 0.468  -0.594 0.648  -0.411 0.747  -0.188 0.747  0.036 0.747  0.252 0.793  0.465 0.864  0.677 0.935  0.898 0.950  1.122 0.950  1.332 0.964  1.367 1.153  1.493 1.118  1.320 0.976  1.146 0.835  0.973 0.693  0.800 0.551  0.627 0.410  0.454 0.268  0.280 0.126  0.107 -0.016  -0.066 -0.157  -0.239 -0.299  -0.412 -0.441  -0.586 -0.583  -0.620 -0.674  -0.396 -0.674  -0.172 -0.674  0.052 -0.674  0.276 -0.674  0.499 -0.674  0.723 -0.674
2#ibm#ibm0#r0414/F  -0.698 0.941  -0.602 0.734  -0.534 0.514  -0.514 0.286  -0.486 0.057  -0.457 -0.171  -0.428 -0.400  -0.393 -0.627  -0.357 -0.855  -0.326 -1.083  -0.307 -1.312  -0.307 -1.543  -0.308 -1.756  -0.346 -1.529  -0.383 -1.302  -0.421 -1.074  -0.458 -0.847  -0.496 -0.620  -0.533 -0.393  -0.571 -0.165  -0.608 0.062  -0.646 0.289  -0.683 0.517  -0.720 0.744  -0.560 0.858  -0.332 0.893  -0.105 0.930  0.123 0.967  0.352 0.983  0.582 0.995  0.811 1.023  1.038 1.062  1.265 1.102  1.290 1.042  1.120 0.887  0.949 0.732  0.779 0.576  0.609 0.421  0.439 0.266  0.269 0.111  0.099 -0.045  -0.072 -0.200  -0.242 -0.355  -0.235 -0.442  -0.004 -0.442  0.225 -0.430  0.455 -0.409  0.682 -0.370  0.909 -0.331  1.136 -0.291
2#ibm#ibm0#r0414/F  -0.357 1.652  -0.333 1.587  -0.309 1.522  -0.284 1.457  -0.260 1.392  -0.235 1.327  -0.211 1.262  -0.186 1.197  -0.162 1.132  -0.138 1.067  -0.113 1.002  -0.089 0.937  -0.077 0.868  -0.070 0.799  -0.063 0.730  -0.056 0.661  -0.049 0.592  -0.042 0.523  -0.035 0.453  -0.028 0.384  -0.020 0.315  -0.013 0.246  -0.006 0.177  0.001 0.108  0.008 0.039  0.015 -0.031  0.022 -0.100  0.029 -0.169  0.036 -0.238  0.043 -0.307  0.051 -0.376  0.060 -0.445  0.071 -0.514  0.082 -0.582  0.093 -0.651  0.103 -0.720  0.114 -0.788  0.125 -0.857  0.136 -0.926  0.147 -0.994  0.158 -1.063  0.168 -1.132  0.179 -1.200  0.190 -1.269  0.198 -1.338  0.206 -1.407  0.214 -1.476  0.221 -1.545  0.229 -1.614  0.237 -1.684
2#ibm#ibm0#r0414/F  -1.667 -0.318  -1.600 -0.302  -1.532 -0.286  -1.465 -0.270  -1.397 -0.254  -1.330 -0.238  -1.262 -0.222  -1.195 -0.206  -1.127 -0.190  -1.059 -0.174  -0.992 -0.158  -0.924 -0.143  -0.857 -0.127  -0.789 -0.111  -0.722 -0.095  -0.654 -0.079  -0.586 -0.063  -0.519 -0.047  -0.451 -0.031  -0.383 -0.020  -0.314 -0.008  -0.246 0.003  -0.177 0.015  -0.109 0.026  -0.040 0.037  0.028 0.049  0.097 0.060  0.165 0.071  0.234 0.083  0.302 0.094  0.370 0.106  0.439 0.113  0.509 0.117  0.578 0.121  0.647 0.124  0.717 0.128  0.786 0.132  0.855 0.136  0.925 0.140  0.994 0.143  1.063 0.147  1.133 0.151  1.202 0.155  1.271 0.159  1.341 0.162  1.410 0.166  1.479 0.170  1.548 0.174  1.618 0.178  1.687 0.181
2#apb#apb17#app1792/F  -0.302 0.524  -0.321 0.668  -0.401 0.461  -0.471 0.250  -0.525 0.034  -0.576 -0.182  -0.612 -0.402  -0.649 -0.620  -0.720 -0.831  -0.792 -1.041  -0.868 -1.250  -0.973 -1.445  -0.942 -1.401  -0.889 -1.187  -0.847 -0.968  -0.805 -0.750  -0.763 -0.531  -0.722 -0.313  -0.680 -0.095  -0.638 0.124  -0.596 0.342  -0.493 0.533  -0.297 0.635  -0.081 0.689  0.136 0.736  0.354 0.780  0.572 0.826  0.788 0.877  1.005 0.924  1.224 0.965  1.439 0.959  1.625 0.854  1.515 0.727  1.322 0.617  1.128 0.508  0.935 0.398  0.741 0.289  0.548 0.179  0.354 0.069  0.161 -0.040  -0.033 -0.150  -0.226 -0.259  -0.419 -0.369  -0.393 -0.424  -0.175 -0.391  0.043 -0.358  0.254 -0.288  0.466 -0.224  0.688 -0.224  0.911 -0.224
2#tos#f2#f2067064/F  -0.240 1.078  -0.344 0.941  -0.344 0.700  -0.344 0.460  -0.344 0.219  -0.363 -0.019  -0.414 -0.249  -0.448 -0.475  -0.448 -0.716  -0.545 -0.921  -0.552 -1.160  -0.587 -1.366  -0.656 -1.584  -0.679 -1.803  -0.655 -1.577  -0.617 -1.340  -0.579 -1.102  -0.541 -0.864  -0.502 -0.627  -0.464 -0.389  -0.426 -0.151  -0.388 0.086  -0.350 0.324  -0.312 0.562  -0.274 0.799  -0.269 1.008  -0.283 0.904  -0.042 0.904  0.182 0.974  0.423 0.974  0.664 0.974  0.899 1.008  1.140 1.008  1.356 0.985  1.233 0.859  1.038 0.718  0.844 0.576  0.649 0.435  0.454 0.294  0.259 0.152  0.064 0.011  -0.131 -0.130  -0.325 -0.272  -0.239 -0.345  0.002 -0.345  0.228 -0.310  0.469 -0.310  0.710 -0.310  0.942 -0.276  1.148 -0.310
3#apb#apb18#app1834/F  1.256 1.045  1.187 1.099  1.115 1.148  1.032 1.179  0.952 1.214  0.870 1.231  0.787 1.203  0.712 1.158  0.639 1.109  0.565 1.060  0.512 0.991  0.459 0.921  0.406 0.850  0.353 0.780  0.303 0.708  0.259 0.632  0.215 0.556  0.171 0.480  0.127 0.403  0.083 0.327  0.040 0.250  -0.001 0.173  -0.042 0.095  -0.082 0.017  -0.123 -0.061  -0.164 -0.139  -0.205 -0.217  -0.246 -0.295  -0.284 -0.374  -0.322 -0.453  -0.361 -0.532  -0.399 -0.611  -0.438 -0.690  -0.475 -0.770  -0.508 -0.851  -0.542 -0.933  -0.576 -1.014  -0.612 -1.094  -0.658 -1.169  -0.712 -1.200  -0.664 -1.127  -0.615 -1.054  -0.566 -0.981  -0.517 -0.908  -0.468 -0.835  -0.420 -0.761  -0.398 -0.700  -0.480 -0.676  -0.548 -0.620  -0.616 -0.564
1b#apa#apa19#app1979/F  -0.112 0.819  -0.191 0.704  -0.191 0.510  -0.191 0.316  -0.191 0.121  -0.191 -0.073  -0.191 -0.267  -0.191 -0.461  -0.191 -0.655  -0.150 -0.840  -0.112 -1.025  -0.112 -1.219  -0.065 -1.402  -0.033 -1.589  0.024 -1.759  0.045 -1.933  0.016 -1.741  -0.012 -1.549  -0.040 -1.357  -0.068 -1.165  -0.097 -0.973  -0.125 -0.781  -0.153 -0.589  -0.181 -0.397  -0.210 -0.205  -0.238 -0.012  -0.266 0.180  -0.294 0.372  -0.323 0.564  -0.360 0.751  -0.427 0.918  -0.388 1.095  -0.242 1.213  -0.081 1.292  0.113 1.292  0.289 1.371  0.483 1.371  0.677 1.371  0.698 1.269  0.604 1.099  0.509 0.929  0.415 0.760  0.321 0.590  0.227 0.420  0.132 0.251  0.038 0.081  0.014 -0.048  0.160 0.067  0.334 0.127  0.518 0.189
1b#kai#kai1#jhjung5/F  -1.084 0.781  -0.962 0.933  -0.823 1.067  -0.714 1.231  -0.551 1.339  -0.386 1.308  -0.324 1.137  -0.256 0.954  -0.111 0.837  0.084 0.824  0.276 0.855  0.446 0.953  0.624 1.033  0.727 1.189  0.588 1.151  0.526 0.964  0.427 0.795  0.365 0.608  0.304 0.420  0.256 0.229  0.203 0.039  0.141 -0.148  0.078 -0.335  0.056 -0.529  -0.006 -0.716  -0.069 -0.903  -0.131 -1.090  -0.222 -1.263  -0.380 -1.368  -0.567 -1.306  -0.753 -1.241  -0.910 -1.124  -0.826 -0.951  -0.734 -0.776  -0.641 -0.602  -0.549 -0.428  -0.377 -0.433  -0.190 -0.370  0.006 -0.359  0.198 -0.326  0.385 -0.263  0.560 -0.178  0.724 -0.068  0.839 -0.008  0.749 -0.182  0.684 -0.368  0.588 -0.538  0.563 -0.732  0.563 -0.929  0.605 -1.119
2#apb#apb14#app1421/F  -0.215 1.257  -0.145 1.124  -0.162 0.893  -0.190 0.663  -0.220 0.433  -0.245 0.202  -0.284 -0.025  -0.354 -0.246  -0.423 -0.467  -0.490 -0.689  -0.558 -0.910  -0.584 -1.140  -0.608 -1.371  -0.610 -1.602  -0.560 -1.709  -0.546 -1.477  -0.531 -1.246  -0.517 -1.015  -0.503 -0.783  -0.489 -0.552  -0.475 -0.321  -0.460 -0.090  -0.446 0.142  -0.432 0.373  -0.418 0.604  -0.404 0.836  -0.275 1.014  -0.050 1.063  0.181 1.071  0.412 1.063  0.643 1.048  0.875 1.047  1.100 1.005  1.319 0.929  1.352 0.822  1.165 0.684  0.979 0.547  0.792 0.409  0.606 0.272  0.419 0.134  0.233 -0.003  0.046 -0.141  -0.140 -0.278  -0.327 -0.416  -0.318 -0.520  -0.091 -0.557  0.141 -0.557  0.371 -0.527  0.601 -0.503  0.832 -0.488
3#apb#apb07#app0730/F  0.093 0.221  0.226 0.270  0.328 0.352  0.323 0.490  0.320 0.632  0.320 0.773  0.286 0.910  0.235 1.039  0.139 1.143  0.029 1.220  -0.111 1.244  -0.251 1.257  -0.392 1.247  -0.518 1.194  -0.636 1.115  -0.703 0.991  -0.769 0.866  -0.797 0.729  -0.813 0.588  -0.830 0.448  -0.812 0.308  -0.788 0.169  -0.765 0.029  -0.727 -0.106  -0.667 -0.234  -0.608 -0.362  -0.548 -0.490  -0.483 -0.616  -0.415 -0.740  -0.348 -0.865  -0.275 -0.986  -0.201 -1.107  -0.159 -1.241  -0.089 -1.357  0.013 -1.317  0.111 -1.215  0.209 -1.113  0.307 -1.011  0.405 -0.909  0.503 -0.807  0.601 -0.705  0.699 -0.603  0.797 -0.501  0.895 -0.399  0.993 -0.297  1.091 -0.195  1.133 -0.077  1.023 -0.012  0.883 0.007  0.743 0.026
3#apb#apb07#app0730/F  0.357 1.010  0.268 1.077  0.115 1.054  -0.037 1.023  -0.191 1.000  -0.345 0.977  -0.501 0.977  -0.656 0.977  -0.812 0.977  -0.968 0.977  -1.123 0.977  -1.245 0.912  -1.215 0.760  -1.113 0.642  -1.011 0.524  -0.910 0.406  -0.806 0.290  -0.703 0.173  -0.600 0.057  -0.496 -0.059  -0.393 -0.176  -0.289 -0.292  -0.186 -0.408  -0.085 -0.527  -0.006 -0.661  0.073 -0.795  0.135 -0.935  0.167 -1.088  0.181 -1.240  0.151 -1.393  0.195 -1.365  0.281 -1.236  0.368 -1.106  0.454 -0.977  0.540 -0.847  0.627 -0.718  0.713 -0.588  0.799 -0.459  0.886 -0.329  0.972 -0.199  1.059 -0.070  1.133 0.066  1.067 0.151  0.912 0.134  0.758 0.114  0.603 0.094  0.450 0.069  0.296 0.043  0.143 0.016  -0.011 -0.010
1b#app#app32#app3259/F  0.638 1.196  0.614 0.968  0.410 0.854  0.393 0.609  0.296 0.397  0.252 0.152  0.182 -0.088  0.182 -0.340  0.182 -0.592  0.182 -0.844  0.190 -1.093  0.296 -1.301  0.410 -1.506  0.266 -1.380  0.099 -1.192  -0.068 -1.003  -0.236 -0.815  -0.403 -0.627  -0.571 -0.438  -0.738 -0.250  -0.906 -0.062  -1.073 0.127  -1.240 0.315  -1.408 0.503  -1.222 0.626  -0.981 0.672  -0.745 0.740  -0.518 0.846  -0.268 0.854  -0.017 0.861  0.228 0.923  0.474 0.968  0.726 0.968  0.978 0.968  1.230 0.968  1.204 0.862  1.015 0.695  0.827 0.528  0.639 0.360  0.450 0.193  0.262 0.025  0.074 -0.142  -0.115 -0.310  -0.303 -0.477  -0.491 -0.644  -0.680 -0.812  -0.547 -0.857  -0.295 -0.857  -0.056 -0.805  0.182 -0.743
1b#app#app11#app1167/F  0.919 1.186  0.977 1.186  0.793 1.181  0.655 1.064  0.469 1.064  0.283 1.064  0.097 1.064  -0.088 1.064  -0.274 1.064  -0.448 1.035  -0.596 0.943  -0.746 0.858  -0.904 0.809  -0.904 0.623  -0.904 0.437  -0.821 0.335  -0.783 0.187  -0.783 0.001  -0.673 -0.140  -0.661 -0.321  -0.661 -0.506  -0.540 -0.642  -0.540 -0.828  -0.446 -0.975  -0.418 -1.149  -0.418 -1.335  -0.297 -1.399  -0.234 -1.415  -0.113 -1.274  0.008 -1.133  0.129 -0.992  0.250 -0.851  0.371 -0.710  0.492 -0.569  0.613 -0.427  0.734 -0.286  0.855 -0.145  0.976 -0.004  1.097 0.137  1.077 0.213  0.899 0.194  0.756 0.092  0.570 0.092  0.434 -0.029  0.252 -0.050  0.075 -0.108  -0.104 -0.151  -0.290 -0.151  -0.475 -0.151  -0.661 -0.151
3#apa#apa13#app1324/F  -0.658 0.685  -0.522 0.774  -0.570 0.626  -0.570 0.401  -0.570 0.177  -0.658 -0.027  -0.682 -0.246  -0.747 -0.455  -0.747 -0.680  -0.747 -0.905  -0.714 -1.116  -0.658 -1.317  -0.570 -1.506  -0.579 -1.320  -0.589 -1.096  -0.598 -0.872  -0.608 -0.647  -0.618 -0.423  -0.628 -0.198  -0.637 0.026  -0.647 0.251  -0.657 0.475  -0.467 0.508  -0.249 0.536  -0.039 0.597  0.165 0.685  0.390 0.685  0.602 0.740  0.818 0.774  1.043 0.774  1.268 0.774  1.492 0.774  1.717 0.774  1.707 0.716  1.507 0.613  1.308 0.509  1.108 0.406  0.909 0.303  0.709 0.199  0.510 0.096  0.311 -0.008  0.111 -0.111  -0.088 -0.214  -0.288 -0.318  -0.487 -0.421  -0.453 -0.405  -0.235 -0.376  -0.010 -0.376  0.214 -0.376  0.403 -0.464
2#app#app06#app0699/F  0.063 0.745  0.063 0.514  -0.033 0.323  -0.033 0.092  -0.130 -0.116  -0.223 -0.325  -0.223 -0.556  -0.270 -0.776  -0.318 -0.996  -0.318 -1.227  -0.409 -1.436  -0.413 -1.666  -0.417 -1.754  -0.428 -1.523  -0.439 -1.293  -0.450 -1.062  -0.461 -0.831  -0.472 -0.600  -0.483 -0.370  -0.494 -0.139  -0.505 0.092  -0.485 0.317  -0.413 0.531  -0.267 0.701  -0.072 0.821  0.100 0.973  0.266 1.132  0.466 1.244  0.630 1.407  0.852 1.453  1.074 1.507  1.140 1.431  0.989 1.256  0.838 1.081  0.687 0.907  0.536 0.732  0.385 0.557  0.234 0.382  0.083 0.207  -0.068 0.033  -0.219 -0.142  -0.370 -0.317  -0.521 -0.492  -0.500 -0.588  -0.364 -0.493  -0.159 -0.429  0.059 -0.397  0.267 -0.302  0.498 -0.302  0.729 -0.302
2#apb#apb14#app1429/F  -0.716 0.377  -0.715 0.317  -0.687 0.040  -0.652 -0.235  -0.603 -0.508  -0.533 -0.777  -0.462 -1.045  -0.537 -1.234  -0.332 -1.047  -0.127 -0.859  0.078 -0.671  0.283 -0.484  0.488 -0.296  0.693 -0.108  0.897 0.079  1.102 0.267  1.307 0.454  1.512 0.642  1.736 0.782  1.793 0.679  1.521 0.619  1.248 0.566  0.976 0.510  0.706 0.446  0.435 0.383  0.163 0.330  -0.111 0.280  -0.387 0.255  -0.664 0.234  -0.942 0.225  -1.220 0.221  -1.498 0.216  -1.774 0.190  -1.577 0.116  -1.300 0.101  -1.023 0.085  -0.745 0.070  -0.468 0.055  -0.190 0.039  0.087 0.024  0.365 0.009  0.642 -0.006  0.920 -0.022  0.868 -0.091  0.596 -0.130  0.321 -0.162  0.046 -0.202  -0.232 -0.214  -0.509 -0.228  -0.779 -0.292
