3#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
3#kai#kai2#yslee6/h  -0.060 2.188  -0.103 2.060  -0.109 1.925  -0.134 1.793  -0.158 1.660  -0.158 1.525  -0.185 1.393  -0.207 1.260  -0.207 1.125  -0.207 0.989  -0.207 0.854  -0.207 0.718  -0.207 0.583  -0.207 0.447  -0.207 0.312  -0.207 0.176  -0.207 0.041  -0.207 -0.095  -0.207 -0.230  -0.207 -0.365  -0.207 -0.501  -0.207 -0.636  -0.207 -0.772  -0.208 -0.907  -0.241 -1.039  -0.256 -1.172  -0.271 -1.190  -0.304 -1.058  -0.274 -0.927  -0.244 -0.795  -0.218 -0.662  -0.170 -0.536  -0.110 -0.415  -0.049 -0.294  0.011 -0.173  0.072 -0.052  0.171 0.035  0.294 0.078  0.427 0.063  0.529 0.001  0.529 -0.135  0.529 -0.270  0.529 -0.406  0.529 -0.541  0.529 -0.677  0.496 -0.807  0.480 -0.940  0.480 -1.075  0.480 -1.211  0.480 -1.346
3#kai#kai2#yslee6/a  0.231 1.065  0.070 1.145  -0.091 1.220  -0.270 1.220  -0.426 1.142  -0.565 1.032  -0.673 0.889  -0.777 0.744  -0.844 0.578  -0.910 0.411  -0.953 0.238  -0.988 0.062  -1.003 -0.115  -1.003 -0.294  -1.003 -0.473  -0.960 -0.642  -0.879 -0.802  -0.787 -0.956  -0.683 -1.098  -0.513 -1.155  -0.337 -1.171  -0.179 -1.118  -0.053 -0.992  0.074 -0.865  0.174 -0.717  0.246 -0.556  0.281 -0.380  0.323 -0.207  0.390 -0.041  0.456 0.126  0.462 0.304  0.462 0.483  0.462 0.662  0.462 0.841  0.462 1.020  0.444 1.089  0.387 0.919  0.385 0.740  0.396 0.563  0.445 0.390  0.495 0.218  0.539 0.045  0.539 -0.134  0.574 -0.309  0.619 -0.482  0.699 -0.642  0.781 -0.801  0.880 -0.950  1.007 -1.072  1.156 -1.171
3#kai#kai2#yslee6/n  -0.755 0.802  -0.755 0.645  -0.755 0.487  -0.755 0.330  -0.777 0.175  -0.808 0.020  -0.828 -0.135  -0.828 -0.293  -0.828 -0.451  -0.828 -0.608  -0.828 -0.766  -0.828 -0.923  -0.828 -1.081  -0.789 -0.993  -0.739 -0.843  -0.689 -0.694  -0.622 -0.551  -0.551 -0.411  -0.481 -0.270  -0.425 -0.123  -0.367 0.023  -0.279 0.154  -0.192 0.285  -0.104 0.416  -0.017 0.547  0.064 0.681  0.114 0.830  0.206 0.953  0.318 1.065  0.431 1.173  0.580 1.223  0.730 1.216  0.865 1.156  0.865 0.998  0.865 0.841  0.865 0.683  0.865 0.526  0.865 0.368  0.865 0.210  0.838 0.057  0.792 -0.093  0.792 -0.250  0.766 -0.405  0.728 -0.557  0.681 -0.708  0.634 -0.858  0.596 -1.011  0.539 -1.155  0.444 -1.281  0.350 -1.407
3#kai#kai2#yslee6/U  -0.594 1.534  -0.636 1.360  -0.636 1.178  -0.643 0.998  -0.677 0.820  -0.677 0.638  -0.677 0.457  -0.704 0.278  -0.719 0.098  -0.719 -0.083  -0.719 -0.265  -0.719 -0.446  -0.719 -0.628  -0.701 -0.806  -0.643 -0.978  -0.621 -1.155  -0.533 -1.312  -0.396 -1.406  -0.253 -1.309  -0.153 -1.158  -0.079 -0.993  -0.021 -0.821  0.072 -0.666  0.121 -0.492  0.182 -0.321  0.251 -0.155  0.292 0.022  0.329 0.199  0.380 0.373  0.446 0.542  0.486 0.719  0.504 0.898  0.528 1.076  0.528 1.258  0.521 1.381  0.486 1.204  0.486 1.023  0.486 0.841  0.486 0.660  0.486 0.478  0.448 0.302  0.445 0.121  0.445 -0.061  0.445 -0.242  0.476 -0.420  0.486 -0.600  0.517 -0.778  0.574 -0.950  0.637 -1.120  0.694 -1.292
3#kai#kai2#yslee6/s  0.657 1.518  0.558 1.518  0.460 1.518  0.364 1.499  0.270 1.467  0.185 1.419  0.102 1.364  0.028 1.300  -0.042 1.230  -0.112 1.160  -0.174 1.085  -0.211 0.993  -0.248 0.901  -0.285 0.809  -0.316 0.716  -0.342 0.621  -0.342 0.522  -0.342 0.423  -0.342 0.324  -0.342 0.225  -0.325 0.131  -0.281 0.042  -0.236 -0.046  -0.173 -0.121  -0.103 -0.191  -0.031 -0.258  0.052 -0.313  0.135 -0.366  0.229 -0.397  0.322 -0.428  0.416 -0.460  0.495 -0.509  0.539 -0.597  0.583 -0.686  0.553 -0.762  0.483 -0.832  0.411 -0.898  0.322 -0.943  0.234 -0.987  0.143 -1.025  0.049 -1.056  -0.045 -1.088  -0.139 -1.119  -0.236 -1.128  -0.335 -1.128  -0.432 -1.138  -0.526 -1.170  -0.567 -1.143  -0.543 -1.048  -0.519 -0.952
3#kai#kai2#yslee6/e  -0.704 -0.001  -0.580 -0.084  -0.451 -0.148  -0.303 -0.148  -0.155 -0.142  -0.008 -0.118  0.138 -0.093  0.284 -0.066  0.428 -0.030  0.565 0.019  0.670 0.124  0.765 0.233  0.765 0.382  0.765 0.530  0.758 0.678  0.703 0.815  0.647 0.953  0.580 1.085  0.497 1.208  0.370 1.247  0.221 1.247  0.073 1.247  -0.073 1.232  -0.205 1.166  -0.338 1.099  -0.427 0.980  -0.516 0.861  -0.579 0.730  -0.620 0.587  -0.661 0.444  -0.701 0.301  -0.704 0.153  -0.704 0.004  -0.704 -0.144  -0.658 -0.285  -0.611 -0.426  -0.564 -0.567  -0.510 -0.705  -0.455 -0.843  -0.388 -0.972  -0.270 -1.061  -0.151 -1.151  -0.022 -1.224  0.111 -1.290  0.252 -1.323  0.400 -1.323  0.549 -1.323  0.697 -1.322  0.841 -1.286  0.985 -1.250
3#kai#kai2#yslee6/\@  -1.284 -1.111  -1.228 -1.069  -1.172 -1.027  -1.117 -0.985  -1.061 -0.944  -1.005 -0.902  -0.949 -0.860  -0.894 -0.818  -0.838 -0.776  -0.782 -0.735  -0.727 -0.693  -0.671 -0.651  -0.615 -0.609  -0.559 -0.567  -0.504 -0.526  -0.448 -0.484  -0.392 -0.442  -0.336 -0.400  -0.281 -0.358  -0.225 -0.317  -0.175 -0.268  -0.126 -0.219  -0.077 -0.169  -0.028 -0.120  0.022 -0.071  0.071 -0.022  0.120 0.028  0.169 0.077  0.219 0.126  0.268 0.175  0.317 0.225  0.366 0.274  0.416 0.323  0.465 0.372  0.514 0.422  0.563 0.471  0.605 0.527  0.643 0.585  0.682 0.643  0.721 0.701  0.759 0.759  0.798 0.817  0.837 0.874  0.875 0.932  0.914 0.990  0.953 1.048  0.991 1.106  1.030 1.164  1.068 1.222  1.107 1.280
3#kai#kai2#yslee6/V  -0.558 1.547  -0.558 1.422  -0.558 1.297  -0.558 1.172  -0.538 1.049  -0.522 0.925  -0.522 0.800  -0.522 0.675  -0.522 0.550  -0.522 0.425  -0.522 0.300  -0.522 0.174  -0.522 0.049  -0.522 -0.076  -0.521 -0.201  -0.507 -0.325  -0.493 -0.450  -0.467 -0.571  -0.433 -0.692  -0.399 -0.812  -0.364 -0.932  -0.331 -1.053  -0.286 -1.169  -0.229 -1.281  -0.160 -1.384  -0.044 -1.412  0.045 -1.324  0.112 -1.219  0.172 -1.110  0.220 -0.995  0.286 -0.889  0.342 -0.777  0.375 -0.657  0.424 -0.542  0.480 -0.430  0.531 -0.317  0.559 -0.195  0.586 -0.072  0.614 0.049  0.645 0.171  0.672 0.293  0.672 0.418  0.672 0.543  0.672 0.668  0.672 0.793  0.642 0.913  0.610 1.034  0.574 1.154  0.564 1.277  0.564 1.185
3#kai#kai2#yslee6/i  -0.007 0.448  0.018 0.323  0.044 0.198  0.064 0.072  0.064 -0.055  0.064 -0.183  0.064 -0.311  0.072 -0.438  0.097 -0.563  0.122 -0.688  0.135 -0.814  0.135 -0.942  0.143 -1.068  0.174 -1.192  0.205 -1.316  0.205 -1.444  0.161 -1.527  0.033 -1.527  -0.034 -1.443  -0.075 -1.322  -0.131 -1.208  -0.150 -1.084  -0.153 -0.956  -0.157 -0.829  -0.160 -0.701  -0.163 -0.574  -0.167 -0.446  -0.170 -0.319  -0.174 -0.191  -0.177 -0.063  -0.180 0.064  -0.184 0.192  -0.187 0.319  -0.190 0.447  -0.194 0.575  -0.197 0.702  -0.200 0.830  -0.204 0.957  -0.207 1.085  -0.210 1.213  -0.214 1.340  -0.217 1.468  -0.134 1.478  -0.012 1.438  0.115 1.436  0.242 1.436  0.354 1.383  0.460 1.312  0.578 1.264  0.699 1.224
3#kai#kai2#yslee6/o  -0.409 0.517  -0.481 0.408  -0.554 0.300  -0.607 0.183  -0.639 0.056  -0.670 -0.071  -0.684 -0.200  -0.684 -0.330  -0.684 -0.461  -0.684 -0.591  -0.684 -0.722  -0.625 -0.828  -0.532 -0.920  -0.440 -1.013  -0.331 -1.082  -0.215 -1.141  -0.098 -1.199  0.026 -1.227  0.157 -1.227  0.285 -1.210  0.408 -1.169  0.517 -1.112  0.558 -0.989  0.600 -0.865  0.632 -0.738  0.663 -0.611  0.693 -0.485  0.693 -0.354  0.693 -0.223  0.693 -0.093  0.693 0.038  0.693 0.168  0.667 0.293  0.609 0.410  0.550 0.526  0.497 0.645  0.456 0.769  0.411 0.891  0.318 0.983  0.226 1.075  0.132 1.166  0.024 1.238  -0.085 1.311  -0.206 1.343  -0.336 1.343  -0.427 1.288  -0.468 1.164  -0.491 1.040  -0.450 0.916  -0.409 0.792
3#kai#kai2#yslee6/l  0.005 1.699  0.005 1.629  0.005 1.560  0.005 1.491  0.005 1.421  0.005 1.352  0.005 1.282  0.005 1.213  0.005 1.144  0.005 1.074  0.005 1.005  0.005 0.936  0.005 0.866  0.005 0.797  0.005 0.728  0.005 0.658  0.005 0.589  0.005 0.520  0.005 0.450  0.005 0.381  0.005 0.311  0.005 0.242  0.005 0.173  0.005 0.103  0.005 0.034  0.005 -0.035  0.005 -0.105  0.005 -0.174  0.005 -0.243  0.005 -0.313  0.005 -0.382  0.005 -0.451  0.005 -0.521  0.005 -0.590  0.005 -0.660  0.005 -0.729  0.005 -0.798  0.005 -0.868  0.005 -0.937  0.005 -1.006  0.005 -1.076  0.005 -1.145  0.005 -1.214  0.005 -1.284  -0.010 -1.351  -0.027 -1.419  -0.043 -1.486  -0.052 -1.554  -0.052 -1.624  -0.052 -1.693
3#kai#kai2#yslee6/i  0.093 -0.466  0.125 -0.562  0.156 -0.657  0.172 -0.756  0.172 -0.857  0.177 -0.957  0.209 -1.053  0.241 -1.148  0.273 -1.244  0.305 -1.340  0.330 -1.437  0.318 -1.448  0.291 -1.351  0.265 -1.253  0.239 -1.156  0.212 -1.058  0.186 -0.961  0.160 -0.864  0.133 -0.766  0.107 -0.669  0.081 -0.571  0.054 -0.474  0.028 -0.376  0.002 -0.279  -0.025 -0.181  -0.051 -0.084  -0.077 0.013  -0.104 0.111  -0.130 0.208  -0.156 0.306  -0.183 0.403  -0.209 0.501  -0.235 0.598  -0.262 0.695  -0.288 0.793  -0.314 0.890  -0.341 0.988  -0.367 1.085  -0.393 1.183  -0.420 1.280  -0.446 1.378  -0.414 1.417  -0.316 1.393  -0.218 1.369  -0.122 1.339  -0.032 1.294  0.059 1.249  0.149 1.204  0.239 1.158  0.330 1.113
3#kai#kai2#yslee6/n  -0.649 0.971  -0.649 0.818  -0.649 0.664  -0.649 0.511  -0.649 0.357  -0.649 0.204  -0.690 0.057  -0.728 -0.091  -0.728 -0.244  -0.728 -0.398  -0.728 -0.551  -0.728 -0.705  -0.728 -0.858  -0.728 -1.012  -0.748 -1.007  -0.785 -0.858  -0.788 -0.711  -0.739 -0.565  -0.675 -0.426  -0.607 -0.289  -0.543 -0.149  -0.486 -0.006  -0.429 0.136  -0.372 0.279  -0.315 0.422  -0.258 0.564  -0.154 0.676  -0.045 0.784  0.046 0.907  0.131 1.034  0.276 1.051  0.430 1.051  0.583 1.051  0.683 0.950  0.768 0.823  0.820 0.678  0.868 0.533  0.917 0.387  0.933 0.236  0.939 0.083  0.988 -0.062  1.012 -0.212  1.012 -0.365  0.966 -0.511  0.933 -0.660  0.933 -0.813  0.920 -0.965  0.872 -1.110  0.823 -1.256  0.775 -1.402
3#kai#kai2#yslee6/V  -0.602 1.410  -0.602 1.285  -0.602 1.160  -0.602 1.036  -0.602 0.911  -0.602 0.786  -0.602 0.662  -0.602 0.537  -0.602 0.412  -0.602 0.288  -0.574 0.167  -0.553 0.045  -0.553 -0.080  -0.531 -0.202  -0.504 -0.323  -0.504 -0.448  -0.488 -0.571  -0.458 -0.692  -0.419 -0.810  -0.380 -0.928  -0.340 -1.047  -0.296 -1.163  -0.227 -1.266  -0.180 -1.381  -0.126 -1.389  -0.057 -1.285  0.007 -1.178  0.071 -1.071  0.116 -0.956  0.169 -0.843  0.233 -0.737  0.291 -0.627  0.331 -0.509  0.386 -0.397  0.445 -0.287  0.514 -0.184  0.560 -0.068  0.577 0.053  0.577 0.178  0.632 0.290  0.676 0.404  0.676 0.529  0.707 0.650  0.733 0.771  0.753 0.894  0.774 1.017  0.774 1.142  0.757 1.264  0.725 1.338  0.725 1.213
3#kai#kai2#yslee6/i  0.147 0.006  0.168 -0.101  0.190 -0.208  0.203 -0.316  0.203 -0.425  0.203 -0.534  0.203 -0.643  0.203 -0.752  0.203 -0.861  0.203 -0.970  0.203 -1.079  0.222 -1.186  0.248 -1.291  0.258 -1.399  0.253 -1.490  0.193 -1.400  0.147 -1.304  0.147 -1.195  0.131 -1.088  0.108 -0.981  0.085 -0.875  0.063 -0.768  0.040 -0.662  0.017 -0.555  -0.005 -0.448  -0.028 -0.342  -0.051 -0.235  -0.073 -0.128  -0.096 -0.022  -0.119 0.085  -0.141 0.192  -0.164 0.298  -0.187 0.405  -0.210 0.511  -0.232 0.618  -0.255 0.725  -0.278 0.831  -0.300 0.938  -0.323 1.045  -0.346 1.151  -0.368 1.258  -0.391 1.364  -0.396 1.464  -0.305 1.524  -0.210 1.555  -0.107 1.520  0.001 1.510  0.104 1.497  0.181 1.420  0.258 1.343
3#kai#kai2#yslee6/s  0.820 1.431  0.717 1.466  0.614 1.500  0.521 1.460  0.430 1.399  0.339 1.340  0.246 1.285  0.153 1.229  0.060 1.173  -0.030 1.113  -0.107 1.036  -0.183 0.959  -0.260 0.882  -0.337 0.806  -0.407 0.724  -0.455 0.626  -0.504 0.529  -0.550 0.431  -0.585 0.328  -0.619 0.225  -0.622 0.117  -0.622 0.009  -0.614 -0.097  -0.553 -0.188  -0.493 -0.278  -0.407 -0.334  -0.304 -0.369  -0.201 -0.403  -0.098 -0.437  0.006 -0.470  0.111 -0.496  0.216 -0.523  0.321 -0.552  0.424 -0.586  0.526 -0.623  0.616 -0.683  0.706 -0.743  0.691 -0.804  0.601 -0.864  0.509 -0.922  0.404 -0.948  0.299 -0.975  0.194 -1.002  0.091 -1.037  -0.012 -1.071  -0.118 -1.098  -0.223 -1.124  -0.329 -1.148  -0.437 -1.148  -0.546 -1.148
3#kai#kai2#yslee6/i  -0.104 -0.231  -0.084 -0.335  -0.063 -0.438  -0.042 -0.542  -0.017 -0.645  0.009 -0.747  0.025 -0.851  0.025 -0.957  0.025 -1.063  0.025 -1.169  0.025 -1.274  0.025 -1.380  0.001 -1.462  -0.104 -1.461  -0.104 -1.356  -0.104 -1.250  -0.104 -1.144  -0.104 -1.038  -0.104 -0.932  -0.104 -0.827  -0.104 -0.721  -0.104 -0.615  -0.104 -0.509  -0.104 -0.403  -0.104 -0.298  -0.104 -0.192  -0.104 -0.086  -0.104 0.020  -0.104 0.126  -0.104 0.232  -0.104 0.337  -0.104 0.443  -0.104 0.549  -0.104 0.655  -0.104 0.761  -0.104 0.866  -0.104 0.972  -0.104 1.078  -0.104 1.184  -0.104 1.290  -0.104 1.395  -0.057 1.454  0.049 1.454  0.148 1.425  0.243 1.377  0.337 1.330  0.437 1.295  0.537 1.261  0.638 1.228  0.738 1.195
3#kai#kai2#yslee6/t  -0.608 0.456  -0.473 0.456  -0.338 0.456  -0.202 0.456  -0.067 0.456  0.068 0.456  0.204 0.456  0.339 0.456  0.317 0.561  0.232 0.666  0.146 0.771  0.061 0.876  -0.024 0.981  -0.110 1.086  -0.195 1.191  -0.280 1.296  -0.365 1.401  -0.381 1.310  -0.381 1.175  -0.381 1.040  -0.381 0.905  -0.381 0.769  -0.381 0.634  -0.381 0.499  -0.381 0.363  -0.381 0.228  -0.381 0.093  -0.381 -0.042  -0.385 -0.177  -0.427 -0.305  -0.438 -0.439  -0.438 -0.574  -0.438 -0.710  -0.438 -0.845  -0.414 -0.976  -0.351 -1.085  -0.223 -1.127  -0.088 -1.131  0.047 -1.131  0.177 -1.096  0.301 -1.045  0.422 -0.984  0.552 -0.961  0.687 -0.961  0.823 -0.961  0.958 -0.961  1.093 -0.961  1.224 -0.986  1.355 -1.018  1.490 -1.018
3#kai#kai2#yslee6/W  -0.810 1.437  -0.792 1.248  -0.816 1.052  -0.851 0.857  -0.851 0.658  -0.891 0.464  -0.891 0.264  -0.891 0.065  -0.891 -0.134  -0.879 -0.333  -0.843 -0.528  -0.810 -0.722  -0.767 -0.916  -0.685 -1.096  -0.520 -1.140  -0.417 -0.970  -0.334 -0.789  -0.260 -0.604  -0.189 -0.418  -0.126 -0.229  -0.048 -0.047  -0.002 0.138  0.060 0.327  0.106 0.521  0.117 0.700  0.079 0.505  0.054 0.310  0.039 0.113  0.039 -0.086  0.039 -0.285  0.039 -0.485  0.070 -0.679  0.101 -0.872  0.208 -1.037  0.372 -1.140  0.546 -1.077  0.623 -0.898  0.677 -0.707  0.747 -0.520  0.800 -0.328  0.861 -0.138  0.888 0.057  0.909 0.254  0.928 0.452  0.928 0.652  0.928 0.851  0.925 1.050  0.888 1.245  0.866 1.442  0.726 1.518
3#kai#kai2#yslee6/a  0.532 0.683  0.406 0.809  0.280 0.936  0.113 0.996  -0.058 1.013  -0.231 0.970  -0.392 0.901  -0.535 0.794  -0.677 0.687  -0.804 0.561  -0.930 0.435  -1.029 0.298  -1.029 0.119  -1.072 -0.052  -1.116 -0.223  -1.116 -0.402  -1.094 -0.575  -1.014 -0.735  -0.932 -0.893  -0.833 -1.041  -0.713 -1.166  -0.553 -1.246  -0.390 -1.311  -0.212 -1.311  -0.071 -1.221  0.055 -1.095  0.151 -0.947  0.231 -0.787  0.310 -0.627  0.390 -0.468  0.463 -0.305  0.519 -0.136  0.532 0.040  0.543 0.218  0.578 0.393  0.613 0.568  0.619 0.745  0.598 0.920  0.541 1.090  0.485 0.975  0.458 0.804  0.502 0.631  0.545 0.458  0.588 0.285  0.632 0.112  0.675 -0.061  0.734 -0.227  0.833 -0.375  0.909 -0.535  0.966 -0.704
3#kai#kai2#yslee6/i  0.219 0.136  0.219 0.011  0.219 -0.115  0.219 -0.240  0.219 -0.366  0.219 -0.492  0.219 -0.617  0.219 -0.743  0.219 -0.868  0.259 -0.988  0.298 -1.107  0.338 -1.226  0.378 -1.345  0.421 -1.463  0.464 -1.546  0.417 -1.430  0.369 -1.314  0.321 -1.198  0.273 -1.082  0.225 -0.966  0.177 -0.850  0.129 -0.734  0.081 -0.618  0.033 -0.501  -0.015 -0.385  -0.063 -0.269  -0.111 -0.153  -0.159 -0.037  -0.207 0.079  -0.255 0.195  -0.303 0.311  -0.351 0.427  -0.399 0.543  -0.446 0.659  -0.494 0.775  -0.542 0.891  -0.590 1.008  -0.638 1.124  -0.686 1.240  -0.697 1.324  -0.575 1.293  -0.453 1.265  -0.329 1.247  -0.204 1.229  -0.080 1.212  0.043 1.190  0.167 1.165  0.290 1.140  0.412 1.110  0.533 1.079
3#kai#kai2#yslee6/t  -0.624 0.439  -0.485 0.439  -0.348 0.425  -0.213 0.392  -0.075 0.383  0.062 0.365  0.197 0.331  0.329 0.288  0.463 0.251  0.597 0.217  0.540 0.335  0.475 0.458  0.411 0.581  0.347 0.705  0.282 0.828  0.218 0.951  0.154 1.074  0.090 1.197  0.025 1.321  -0.039 1.444  -0.067 1.418  -0.067 1.279  -0.091 1.144  -0.123 1.011  -0.124 0.872  -0.141 0.734  -0.159 0.596  -0.176 0.458  -0.207 0.323  -0.234 0.187  -0.234 0.048  -0.250 -0.089  -0.278 -0.226  -0.290 -0.363  -0.290 -0.502  -0.290 -0.641  -0.290 -0.780  -0.290 -0.919  -0.290 -1.058  -0.290 -1.197  -0.275 -1.334  -0.228 -1.464  -0.151 -1.580  -0.035 -1.623  0.101 -1.604  0.230 -1.555  0.346 -1.478  0.473 -1.424  0.598 -1.366  0.713 -1.289
3#kai#kai2#yslee6/W  -0.924 1.388  -0.969 1.207  -0.970 1.020  -0.970 0.832  -0.970 0.645  -0.970 0.458  -0.957 0.272  -0.924 0.088  -0.924 -0.100  -0.884 -0.282  -0.855 -0.467  -0.824 -0.651  -0.765 -0.829  -0.714 -1.009  -0.618 -1.162  -0.462 -1.191  -0.340 -1.058  -0.229 -0.907  -0.152 -0.739  -0.094 -0.561  -0.047 -0.380  0.007 -0.201  0.053 -0.019  0.103 0.161  0.130 0.344  0.150 0.529  0.143 0.607  0.058 0.441  0.038 0.257  0.038 0.070  0.038 -0.117  0.097 -0.295  0.167 -0.468  0.249 -0.637  0.371 -0.777  0.540 -0.844  0.726 -0.856  0.821 -0.697  0.858 -0.514  0.924 -0.338  0.955 -0.157  0.955 0.030  0.955 0.217  0.955 0.405  0.951 0.592  0.928 0.778  0.909 0.964  0.895 1.148  0.825 1.322  0.725 1.480
3#kai#kai2#yslee6/h  -0.255 2.177  -0.255 2.042  -0.255 1.907  -0.255 1.773  -0.255 1.638  -0.255 1.503  -0.255 1.369  -0.255 1.234  -0.255 1.099  -0.255 0.965  -0.255 0.830  -0.255 0.695  -0.231 0.563  -0.205 0.431  -0.197 0.297  -0.197 0.162  -0.197 0.028  -0.197 -0.107  -0.197 -0.242  -0.190 -0.375  -0.147 -0.503  -0.140 -0.637  -0.140 -0.771  -0.148 -0.905  -0.181 -1.036  -0.218 -1.165  -0.260 -1.255  -0.292 -1.124  -0.300 -0.993  -0.267 -0.863  -0.255 -0.729  -0.231 -0.601  -0.162 -0.486  -0.092 -0.370  -0.031 -0.251  0.030 -0.130  0.139 -0.053  0.257 0.009  0.385 0.049  0.520 0.049  0.608 -0.038  0.665 -0.155  0.665 -0.290  0.665 -0.425  0.665 -0.559  0.649 -0.691  0.607 -0.819  0.574 -0.950  0.550 -1.082  0.550 -1.216
3#kai#kai2#yslee6/a  0.238 1.085  0.076 1.085  -0.085 1.085  -0.247 1.085  -0.405 1.080  -0.495 0.946  -0.584 0.811  -0.674 0.677  -0.763 0.543  -0.837 0.402  -0.869 0.244  -0.900 0.086  -0.932 -0.073  -0.935 -0.234  -0.935 -0.395  -0.935 -0.557  -0.935 -0.718  -0.921 -0.877  -0.870 -1.030  -0.799 -1.164  -0.646 -1.215  -0.492 -1.261  -0.331 -1.261  -0.177 -1.245  -0.076 -1.119  0.025 -0.993  0.126 -0.867  0.227 -0.741  0.317 -0.608  0.407 -0.474  0.471 -0.328  0.510 -0.171  0.549 -0.015  0.598 0.139  0.649 0.292  0.664 0.451  0.664 0.612  0.664 0.774  0.664 0.935  0.664 1.073  0.664 0.912  0.664 0.751  0.664 0.589  0.664 0.428  0.682 0.269  0.721 0.112  0.760 -0.045  0.799 -0.201  0.838 -0.358  0.877 -0.514
3#kai#kai2#yslee6/\@  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.936 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.936 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
3#kai#kai2#yslee6/t  -0.197 -1.172  -0.122 -0.960  -0.045 -0.749  -0.008 -0.526  0.048 -0.309  0.048 -0.084  0.066 0.140  0.097 0.362  0.097 0.588  0.097 0.813  0.077 1.037  0.048 1.260  0.025 1.482  -0.024 1.703  -0.146 1.866  -0.256 1.803  -0.277 1.578  -0.295 1.353  -0.295 1.128  -0.295 0.902  -0.254 0.681  -0.246 0.456  -0.219 0.233  -0.197 0.009  -0.183 -0.215  -0.138 -0.436  -0.093 -0.657  -0.044 -0.877  -0.016 -1.100  0.032 -1.320  0.090 -1.537  0.212 -1.723  0.364 -1.744  0.436 -1.530  0.489 -1.311  0.489 -1.086  0.395 -0.890  0.265 -0.705  0.136 -0.521  0.007 -0.336  -0.123 -0.151  -0.252 0.034  -0.381 0.218  -0.511 0.403  -0.367 0.439  -0.148 0.386  0.073 0.341  0.292 0.286  0.512 0.237  0.734 0.200
3#kai#kai2#yslee6/X  0.851 1.697  0.715 1.561  0.642 1.383  0.577 1.201  0.529 1.014  0.460 0.835  0.388 0.655  0.325 0.474  0.269 0.289  0.198 0.110  0.126 -0.069  0.043 -0.243  -0.043 -0.416  -0.129 -0.588  -0.226 -0.755  -0.303 -0.930  -0.404 -1.093  -0.452 -1.280  -0.552 -1.444  -0.589 -1.479  -0.583 -1.286  -0.570 -1.093  -0.557 -0.901  -0.543 -0.708  -0.530 -0.516  -0.517 -0.323  -0.504 -0.131  -0.490 0.062  -0.477 0.254  -0.464 0.446  -0.451 0.639  -0.437 0.831  -0.424 1.024  -0.411 1.216  -0.374 1.248  -0.306 1.067  -0.241 0.886  -0.165 0.709  -0.078 0.537  0.008 0.364  0.113 0.205  0.232 0.056  0.324 -0.113  0.412 -0.283  0.503 -0.452  0.621 -0.604  0.736 -0.759  0.835 -0.924  0.924 -1.095  0.991 -1.276
3#kai#kai2#yslee6/m  -0.773 1.171  -0.827 0.955  -0.889 0.742  -0.934 0.527  -0.934 0.305  -0.934 0.082  -0.934 -0.140  -0.934 -0.362  -0.934 -0.584  -0.934 -0.807  -0.926 -1.028  -0.872 -1.244  -0.808 -1.182  -0.751 -0.968  -0.707 -0.750  -0.638 -0.540  -0.555 -0.333  -0.481 -0.124  -0.411 0.087  -0.341 0.298  -0.271 0.509  -0.200 0.720  -0.130 0.930  -0.007 1.115  0.186 1.171  0.271 1.033  0.271 0.811  0.271 0.589  0.271 0.367  0.271 0.144  0.261 -0.077  0.207 -0.292  0.191 -0.512  0.191 -0.619  0.206 -0.399  0.288 -0.193  0.374 0.012  0.474 0.211  0.588 0.401  0.730 0.567  0.915 0.687  1.038 0.502  1.124 0.299  1.155 0.082  1.155 -0.141  1.155 -0.363  1.155 -0.585  1.155 -0.807  1.145 -1.028  1.074 -1.239
